loda_id;loda_dia;loda_mes;loda_cidade;loda_uf;loda_latitude;loda_longitude
4112;20;5;Campo Alegre de Goiás;GO;-17.6394405;-47.7702805
4113;20;5;Arroio do Sal;RS;-29.5078139;-49.8618606
4114;21;5;Itabaiana;PB;-7.3375303;-35.3373285
4115;21;5;Salvador;BA;-12.950707;-38.4686428
4116;21;5;Manaus;AM;-3.0199966;-59.9685793
4117;22;5;Manaus;AM;-2.9873573;-59.9951479
4118;22;5;Cristalândia;TO;-10.5990721;-49.1925907
4119;22;5;Cruz;CE;-2.8572038;-40.4077209
4120;22;5;Santa Quitéria;CE;-4.3371313;-40.1565406
4121;22;5;Maringá;PR;-23.442896;-51.9459916
4122;22;5;Santa Branca;SP;-23.3975909;-45.8836287
4123;22;5;Salvador;BA;-12.9749308;-38.4610955
4124;22;5;Taperoá;PB;-7.2053677;-36.8259432
4125;23;5;Groaíras;CE;-3.9171684;-40.3868815
4126;23;5;Mirandópolis;SP;-21.1321179;-51.0951642
4127;23;5;Belmonte;BA;-15.8615165;-38.8799097
4128;23;5;Aracruz;ES;-19.8173904;-40.2771337
4129;23;5;Conceição da Barra;ES;-18.5936092;-39.7328781
4130;23;5;Itagimirim;BA;-16.0897478;-39.6158847
4131;23;5;São Paulo;SP;-23.5691884;-46.6409334
4132;23;5;Ilha Comprida;SP;-24.7659311;-47.5786135
4133;23;5;Rio das Ostras;RJ;-22.5228245;-41.9319126
4134;24;5;Campina Grande;PB;-7.2384732;-35.8860249
4135;24;5;Coronel Freitas;SC;-26.9043825;-52.6985765
4136;24;5;Goiânia;GO;-16.5901952;-49.3189022
4137;24;5;Curitiba;PR;-25.4525936;-49.2668677
4138;24;5;Maracanaú;CE;-3.8413499;-38.5752745
4139;24;5;Fortaleza;CE;-3.7284106;-38.5324901
4140;24;5;Salvador;BA;-12.9599704;-38.4912834
4141;24;5;São Paulo;SP;-23.543905;-46.6400641
4142;24;5;Pinhais;PR;-25.4383165;-49.1947983
4143;25;5;Flores da Cunha;RS;-29.0276147;-51.1703812
4144;25;5;Coronel Freitas;SC;-26.9036909;-52.6995255
4145;25;5;Fortaleza;CE;-3.8229675;-38.5865904
4146;25;5;Horizonte;CE;-4.1319955;-38.4906472
4147;25;5;Indaial;SC;-26.8860502;-49.2358638
4148;25;5;Salvador;BA;-12.9527537;-38.4808144
4149;25;5;Arcoverde;PE;-8.4133074;-37.0709331
4150;25;5;São Luís;MA;-2.5246308;-44.2601913
4151;26;5;Carlos Barbosa;RS;-29.2843622;-51.4937325
4152;26;5;Porto Alegre;RS;-30.0321815;-51.1181089
4153;26;5;Barreiras;BA;-12.1499558;-44.9995282
4154;26;5;Vitória de Santo Antão;PE;-8.1238386;-35.300463
4155;26;5;Descanso;SC;-26.8189668;-53.4977445
4156;28;5;Santa Clara do Sul;RS;-29.469027;-52.0913233
4157;28;5;Vera Cruz;BA;-12.9748978;-38.6168549
4158;28;5;Barcarena;PA;-1.5383612;-48.6785635
4159;29;5;Fortaleza;CE;-3.8014218;-38.527282
4160;29;5;Cuiabá;MT;-15.5977145;-56.078829
4161;29;5;Dois Córregos;SP;-22.3693055;-48.3834008
4162;29;5;Varzedo;BA;-12.9728932;-39.3855672
4163;29;5;Arroio do Meio;RS;-29.3843288;-51.9526756
4164;29;5;Salvador;BA;-12.9480221;-38.4773145
4165;30;5;Senador Canedo;GO;-16.6921792;-49.1890937
4166;30;5;Conceição do Araguaia;PA;-8.2594552;-49.2607744
4167;30;5;Viamão;RS;-30.1265675;-50.8205274
4168;30;5;Juiz de Fora;MG;-21.7513673;-43.3484834
4169;30;5;Rio de Janeiro;RJ;-22.8331301;-43.2778388
4170;30;5;São Gonçalo;RJ;-22.8536297;-43.0950328
4171;30;5;Caxias do Sul;RS;-29.1980261;-51.165817
4172;30;5;Goiânia;GO;-16.598269;-49.316954
4173;30;5;Blumenau;SC;-26.9767352;-49.1013983
4174;30;5;Fortaleza;CE;-3.7631066;-38.6001528
4175;30;5;Nova Iguaçu;RJ;-22.7057435;-43.4777535
